"category","pref","year_week","reference_date","current_value","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"水痘","高知県","2026-19","2026-05-10",0.05,0.0875,0.14916666666666667,0.59,2,0.03,1,FALSE
"流行性耳下腺炎","高知県","2026-19","2026-05-10",0,0,0.01916666666666667,0,6,0,NA,FALSE
"流行性角結膜炎","高知県","2026-19","2026-05-10",0,0,0.2225,0,8,0,NA,FALSE
"無菌性髄膜炎","高知県","2026-19","2026-05-10",0,0,0.010833333333333334,0,NA,NA,NA,FALSE
"突発性発しん","高知県","2026-19","2026-05-10",0.2,0.3875,0.235,1.65,NA,NA,0.3636,FALSE
"細菌性髄膜炎","高知県","2026-19","2026-05-10",0,0,0.010833333333333334,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","鳥取県","2026-19","2026-05-10",3.11,6.107500000000001,4.1275,1.48,8,0.39,0.4475,FALSE
"RSウイルス","鳥取県","2026-19","2026-05-10",0.05,0.485,0.5358333333333334,0.91,NA,NA,0.1064,FALSE
"インフルエンザ","鳥取県","2026-19","2026-05-10",0.21,0.69,1.3783333333333334,0.5,30,0.01,0.4375,FALSE
"クラミジア肺炎","鳥取県","2026-19","2026-05-10",0,0.05,0.016666666666666666,3,NA,NA,NA,FALSE
"ヘルパンギーナ","鳥取県","2026-19","2026-05-10",0,0,0.04416666666666667,0,6,0,NA,FALSE
"マイコプラズマ肺炎","鳥取県","2026-19","2026-05-10",0.2,0.15000000000000002,0.11666666666666667,1.29,NA,NA,NA,FALSE
"伝染性紅斑","鳥取県","2026-19","2026-05-10",0.05,0.04,0.32,0.12,2,0.03,NA,FALSE
"咽頭結膜熱","鳥取県","2026-19","2026-05-10",0.47,0.275,0.6175,0.45,3,0.16,2.2381,FALSE
"急性出血性結膜炎","鳥取県","2026-19","2026-05-10",0,0,0,NA,1,0,NA,FALSE
"感染性胃腸炎","鳥取県","2026-19","2026-05-10",4.32,8.04,7.254166666666666,1.11,20,0.22,0.4859,FALSE
"感染性胃腸炎（ロタウイルス）","鳥取県","2026-19","2026-05-10",0,0,0.13333333333333333,0,NA,NA,NA,FALSE
"手足口病","鳥取県","2026-19","2026-05-10",0,0,0.0875,0,5,0,NA,FALSE
"新型コロナウイルス","鳥取県","2026-19","2026-05-10",0.38,0.81,2.3625,0.34,NA,NA,0.3333,FALSE
"水痘","鳥取県","2026-19","2026-05-10",0.26,0.29000000000000004,0.20666666666666667,1.4,2,0.13,1.625,FALSE
"流行性耳下腺炎","鳥取県","2026-19","2026-05-10",0,0,0.021666666666666667,0,6,0,NA,FALSE
"流行性角結膜炎","鳥取県","2026-19","2026-05-10",0.2,0.05,0.26666666666666666,0.19,8,0.03,NA,FALSE
"無菌性髄膜炎","鳥取県","2026-19","2026-05-10",0,0.1,0.05,2,NA,NA,NA,FALSE
"突発性発しん","鳥取県","2026-19","2026-05-10",0.11,0.1225,0.22416666666666665,0.55,NA,NA,1,FALSE
"細菌性髄膜炎","鳥取県","2026-19","2026-05-10",0,0.1,0.016666666666666666,6,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","鹿児島県","2026-19","2026-05-10",2.26,2.87,2.1675,1.32,8,0.28,0.6807,FALSE
"RSウイルス","鹿児島県","2026-19","2026-05-10",1.45,1.3475000000000001,1.9791666666666667,0.68,NA,NA,0.9006,FALSE
"インフルエンザ","鹿児島県","2026-19","2026-05-10",0.11,0.2525,1.2675,0.2,30,0,0.4783,FALSE
"クラミジア肺炎","鹿児島県","2026-19","2026-05-10",0.08,0.04,0,NA,NA,NA,1,FALSE
"ヘルパンギーナ","鹿児島県","2026-19","2026-05-10",0.52,0.3875,0.3383333333333333,1.15,6,0.09,0.6753,FALSE
"マイコプラズマ肺炎","鹿児島県","2026-19","2026-05-10",0.17,0.17,0.16,1.06,NA,NA,1,FALSE
"伝染性紅斑","鹿児島県","2026-19","2026-05-10",0.26,0.2175,0.12166666666666666,1.79,2,0.13,2,FALSE
"咽頭結膜熱","鹿児島県","2026-19","2026-05-10",0.81,0.8975000000000001,1.3475000000000001,0.67,3,0.27,0.81,FALSE
"急性出血性結膜炎","鹿児島県","2026-19","2026-05-10",0,0,0,NA,1,0,NA,FALSE
"感染性胃腸炎","鹿児島県","2026-19","2026-05-10",2.97,4.1275,7.283333333333333,0.57,20,0.15,0.6629,FALSE
"感染性胃腸炎（ロタウイルス）","鹿児島県","2026-19","2026-05-10",0,0,0.0275,0,NA,NA,NA,FALSE
"手足口病","鹿児島県","2026-19","2026-05-10",3.81,2.25,0.9825,2.29,5,0.76,1.1944,FALSE
"新型コロナウイルス","鹿児島県","2026-19","2026-05-10",0.51,0.33749999999999997,2.52875,0.13,NA,NA,1.1591,FALSE
"水痘","鹿児島県","2026-19","2026-05-10",0.32,0.315,0.20083333333333334,1.57,2,0.16,0.6154,FALSE
"流行性耳下腺炎","鹿児島県","2026-19","2026-05-10",0,0.0075,0.06583333333333333,0.11,6,0,NA,FALSE
"流行性角結膜炎","鹿児島県","2026-19","2026-05-10",0.29,0.5375,0.8691666666666666,0.62,8,0.04,0.29,FALSE
"無菌性髄膜炎","鹿児島県","2026-19","2026-05-10",0,0,0.013333333333333334,0,NA,NA,NA,FALSE
"突発性発しん","鹿児島県","2026-19","2026-05-10",0.35,0.42500000000000004,0.38666666666666666,1.1,NA,NA,0.7292,FALSE
"細菌性髄膜炎","鹿児島県","2026-19","2026-05-10",0,0,0.013333333333333334,0,NA,NA,NA,FALSE
