"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2025年47週(11月17日～11月23日)","2025年11月26日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","196895","51.12","1699","0.73","665","0.28","5565","2.38","9394","4.01","710","0.30","286","0.12","1523","0.65","514","0.22","135","0.06","88","0.04","5","0.01","529","0.76","6","0.01","9","0.02","625","1.30","2","0.00","4","0.01","6302","1.64"
"北海道","10318","61.78","142","1.41","36","0.36","380","3.76","255","2.52","35","0.35","65","0.64","48","0.48","9","0.09","3","0.03","3","0.03","-","-","4","0.14","-","-","-","-","63","2.74","-","-","-","-","591","3.54"
"青森県","3451","66.37","9","0.26","8","0.24","20","0.59","87","2.56","42","1.24","1","0.03","4","0.12","10","0.29","5","0.15","-","-","-","-","3","0.33","-","-","-","-","7","1.17","-","-","-","-","155","2.98"
"岩手県","3504","83.43","18","0.67","6","0.22","82","3.04","119","4.41","14","0.52","5","0.19","26","0.96","3","0.11","7","0.26","-","-","-","-","4","0.29","-","-","-","-","16","0.84","-","-","-","-","120","2.86"
"宮城県","4918","89.42","6","0.19","4","0.13","49","1.58","81","2.61","6","0.19","-","-","27","0.87","7","0.23","-","-","1","0.03","-","-","6","0.50","-","-","-","-","27","2.70","-","-","-","-","158","2.87"
"秋田県","1893","75.72","6","0.46","-","-","21","1.62","40","3.08","7","0.54","-","-","20","1.54","8","0.62","-","-","-","-","2","0.29","2","0.29","-","-","-","-","27","3.38","-","-","-","-","107","4.28"
