pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2015-01,1.3375000000000001,0.64,2015,1
三重県,A群溶血性レンサ球菌咽頭炎,2015-02,1.175,1.22,2015,2
三重県,A群溶血性レンサ球菌咽頭炎,2015-03,1.0825,1.47,2015,3
三重県,A群溶血性レンサ球菌咽頭炎,2015-04,1.265,1.73,2015,4
三重県,A群溶血性レンサ球菌咽頭炎,2015-05,1.6224999999999998,2.07,2015,5
三重県,A群溶血性レンサ球菌咽頭炎,2015-06,1.695,1.51,2015,6
三重県,A群溶血性レンサ球菌咽頭炎,2015-07,1.8325,2.02,2015,7
三重県,A群溶血性レンサ球菌咽頭炎,2015-08,2.15,3,2015,8
三重県,A群溶血性レンサ球菌咽頭炎,2015-09,2.4375,3.22,2015,9
三重県,A群溶血性レンサ球菌咽頭炎,2015-10,2.665,2.42,2015,10
三重県,A群溶血性レンサ球菌咽頭炎,2015-11,2.755,2.38,2015,11
三重県,A群溶血性レンサ球菌咽頭炎,2015-12,2.66,2.62,2015,12
三重県,A群溶血性レンサ球菌咽頭炎,2015-13,2.5825,2.91,2015,13
三重県,A群溶血性レンサ球菌咽頭炎,2015-14,2.495,2.07,2015,14
三重県,A群溶血性レンサ球菌咽頭炎,2015-15,2.355,1.82,2015,15
三重県,A群溶血性レンサ球菌咽頭炎,2015-16,2.2775,2.31,2015,16
三重県,A群溶血性レンサ球菌咽頭炎,2015-17,2.16,2.44,2015,17
三重県,A群溶血性レンサ球菌咽頭炎,2015-18,2.16,2.07,2015,18
三重県,A群溶血性レンサ球菌咽頭炎,2015-19,2.0375,1.33,2015,19
三重県,A群溶血性レンサ球菌咽頭炎,2015-20,2.3425,3.53,2015,20
三重県,A群溶血性レンサ球菌咽頭炎,2015-21,2.3825,2.6,2015,21
三重県,A群溶血性レンサ球菌咽頭炎,2015-22,2.5875,2.89,2015,22
三重県,A群溶血性レンサ球菌咽頭炎,2015-23,2.8725,2.47,2015,23
三重県,A群溶血性レンサ球菌咽頭炎,2015-24,2.6225,2.53,2015,24
三重県,A群溶血性レンサ球菌咽頭炎,2015-25,2.455,1.93,2015,25
三重県,A群溶血性レンサ球菌咽頭炎,2015-26,2.255,2.09,2015,26
三重県,A群溶血性レンサ球菌咽頭炎,2015-27,2.0774999999999997,1.76,2015,27
三重県,A群溶血性レンサ球菌咽頭炎,2015-28,1.895,1.8,2015,28
三重県,A群溶血性レンサ球菌咽頭炎,2015-29,1.73,1.27,2015,29
三重県,A群溶血性レンサ球菌咽頭炎,2015-30,1.4024999999999999,0.78,2015,30
三重県,A群溶血性レンサ球菌咽頭炎,2015-31,1.18,0.87,2015,31
三重県,A群溶血性レンサ球菌咽頭炎,2015-32,0.8575,0.51,2015,32
三重県,A群溶血性レンサ球菌咽頭炎,2015-33,0.685,0.58,2015,33
三重県,A群溶血性レンサ球菌咽頭炎,2015-34,0.585,0.38,2015,34
三重県,A群溶血性レンサ球菌咽頭炎,2015-35,0.5625,0.78,2015,35
三重県,A群溶血性レンサ球菌咽頭炎,2015-36,0.5750000000000001,0.56,2015,36
三重県,A群溶血性レンサ球菌咽頭炎,2015-37,0.5700000000000001,0.56,2015,37
三重県,A群溶血性レンサ球菌咽頭炎,2015-38,0.675,0.8,2015,38
三重県,A群溶血性レンサ球菌咽頭炎,2015-39,0.5525,0.29,2015,39
三重県,A群溶血性レンサ球菌咽頭炎,2015-40,0.545,0.53,2015,40
三重県,A群溶血性レンサ球菌咽頭炎,2015-41,0.605,0.8,2015,41
三重県,A群溶血性レンサ球菌咽頭炎,2015-42,0.71,1.22,2015,42
三重県,A群溶血性レンサ球菌咽頭炎,2015-43,0.9475,1.24,2015,43
三重県,A群溶血性レンサ球菌咽頭炎,2015-44,1.17,1.42,2015,44
三重県,A群溶血性レンサ球菌咽頭炎,2015-45,1.3425,1.49,2015,45
三重県,A群溶血性レンサ球菌咽頭炎,2015-46,1.4325,1.58,2015,46
三重県,A群溶血性レンサ球菌咽頭炎,2015-47,1.55,1.71,2015,47
三重県,A群溶血性レンサ球菌咽頭炎,2015-48,1.5,1.22,2015,48
三重県,A群溶血性レンサ球菌咽頭炎,2015-49,1.5825,1.82,2015,49
三重県,A群溶血性レンサ球菌咽頭炎,2015-50,1.655,1.87,2015,50
三重県,A群溶血性レンサ球菌咽頭炎,2015-51,1.6325,1.62,2015,51
三重県,A群溶血性レンサ球菌咽頭炎,2015-52,1.7600000000000002,1.73,2015,52
三重県,インフルエンザ,2015-01,11.395,15,2015,1
三重県,インフルエンザ,2015-02,16.697499999999998,31.86,2015,2
三重県,インフルエンザ,2015-03,20.545,34.88,2015,3
三重県,インフルエンザ,2015-04,30.919999999999998,41.94,2015,4
三重県,インフルエンザ,2015-05,35.662499999999994,33.97,2015,5
三重県,インフルエンザ,2015-06,33.36,22.65,2015,6
三重県,インフルエンザ,2015-07,28.0625,13.69,2015,7
