"category","pref","year_week","reference_date","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"咽頭結膜熱","徳島県","2026-18","2026-05-03",0.14500000000000002,0.17166666666666666,0.84,3,0.05,0.7143,FALSE
"急性出血性結膜炎","徳島県","2026-18","2026-05-03",0,0.0625,0,1,0,NA,FALSE
"感染性胃腸炎","徳島県","2026-18","2026-05-03",3.3475,4.639166666666667,0.72,20,0.17,1.35,FALSE
"感染性胃腸炎（ロタウイルス）","徳島県","2026-18","2026-05-03",0,0.0475,0,NA,NA,NA,FALSE
"手足口病","徳島県","2026-18","2026-05-03",0.0125,0.5108333333333334,0.02,5,0,NA,FALSE
"新型コロナウイルス","徳島県","2026-18","2026-05-03",1,2.4675,0.41,NA,NA,1,FALSE
"水痘","徳島県","2026-18","2026-05-03",0.10999999999999999,0.14083333333333334,0.78,2,0.05,0.2083,FALSE
"流行性耳下腺炎","徳島県","2026-18","2026-05-03",0,0.030833333333333334,0,6,0,NA,FALSE
"流行性角結膜炎","徳島県","2026-18","2026-05-03",0.25,0.125,2,8,0.03,1,FALSE
"無菌性髄膜炎","徳島県","2026-18","2026-05-03",0,0.023333333333333334,0,NA,NA,NA,FALSE
"突発性発しん","徳島県","2026-18","2026-05-03",0.2525,0.3325,0.76,NA,NA,1.5263,FALSE
"細菌性髄膜炎","徳島県","2026-18","2026-05-03",0.035,0.023333333333333334,1.5,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","愛媛県","2026-18","2026-05-03",5.409999999999999,3.4916666666666667,1.55,8,0.68,0.8508,FALSE
"RSウイルス","愛媛県","2026-18","2026-05-03",1.6749999999999998,1.3800000000000001,1.21,NA,NA,1.3643,FALSE
"インフルエンザ","愛媛県","2026-18","2026-05-03",1.2149999999999999,1.5675,0.78,30,0.04,0.3368,FALSE
"ヘルパンギーナ","愛媛県","2026-18","2026-05-03",0.037500000000000006,0.3441666666666667,0.11,6,0.01,0,FALSE
"マイコプラズマ肺炎","愛媛県","2026-18","2026-05-03",0.1675,0.09666666666666666,1.73,NA,NA,1,FALSE
"伝染性紅斑","愛媛県","2026-18","2026-05-03",0.5149999999999999,0.115,4.48,2,0.26,1,FALSE
"咽頭結膜熱","愛媛県","2026-18","2026-05-03",0.48500000000000004,0.42916666666666664,1.13,3,0.16,1.0806,FALSE
"感染性胃腸炎","愛媛県","2026-18","2026-05-03",9.142499999999998,9.1033333333333335,1,20,0.46,1.0151,FALSE
"感染性胃腸炎（ロタウイルス）","愛媛県","2026-18","2026-05-03",0,0.05583333333333334,0,NA,NA,NA,FALSE
"手足口病","愛媛県","2026-18","2026-05-03",0.17,0.935,0.18,5,0.03,3.8,FALSE
"新型コロナウイルス","愛媛県","2026-18","2026-05-03",0.33999999999999997,2.1525,0.16,NA,NA,0.619,FALSE
"水痘","愛媛県","2026-18","2026-05-03",0.4875,0.11,4.43,2,0.24,0.6667,FALSE
"流行性耳下腺炎","愛媛県","2026-18","2026-05-03",0.0125,0.03166666666666667,0.39,6,0,NA,FALSE
"流行性角結膜炎","愛媛県","2026-18","2026-05-03",1.065,1.7083333333333333,0.62,8,0.13,0.88,FALSE
"突発性発しん","愛媛県","2026-18","2026-05-03",0.5,0.455,1.1,NA,NA,1.6316,FALSE
"細菌性髄膜炎","愛媛県","2026-18","2026-05-03",0.0425,0.014166666666666668,3,NA,NA,0,FALSE
"A群溶血性レンサ球菌咽頭炎","愛知県","2026-18","2026-05-03",1.7700000000000002,1.5041666666666667,1.18,8,0.22,0.8091,FALSE
"RSウイルス","愛知県","2026-18","2026-05-03",0.3575,0.7891666666666667,0.45,NA,NA,1.0278,FALSE
"インフルエンザ","愛知県","2026-18","2026-05-03",0.6,1.4783333333333333,0.41,30,0.02,0.4375,FALSE
"ヘルパンギーナ","愛知県","2026-18","2026-05-03",0.0325,0.030833333333333334,1.05,6,0.01,3.5,FALSE
"マイコプラズマ肺炎","愛知県","2026-18","2026-05-03",0.33499999999999996,0.22166666666666668,1.51,NA,NA,0.5745,FALSE
"伝染性紅斑","愛知県","2026-18","2026-05-03",0.052500000000000005,0.14083333333333334,0.37,2,0.03,2.3333,FALSE
"咽頭結膜熱","愛知県","2026-18","2026-05-03",0.12,0.25416666666666665,0.47,3,0.04,2,FALSE
"急性出血性結膜炎","愛知県","2026-18","2026-05-03",0,0.03833333333333333,0,1,0,NA,FALSE
"感染性胃腸炎","愛知県","2026-18","2026-05-03",5.2775,4.5841666666666665,1.15,20,0.26,0.8576,FALSE
"感染性胃腸炎（ロタウイルス）","愛知県","2026-18","2026-05-03",0.135,0.11166666666666666,1.21,NA,NA,1,FALSE
"手足口病","愛知県","2026-18","2026-05-03",0.10499999999999998,0.09416666666666668,1.12,5,0.02,0.5714,FALSE
"新型コロナウイルス","愛知県","2026-18","2026-05-03",0.34750000000000003,2.8825,0.12,NA,NA,1.0714,FALSE
"水痘","愛知県","2026-18","2026-05-03",0.29250000000000004,0.125,2.34,2,0.15,0.7353,FALSE
"流行性耳下腺炎","愛知県","2026-18","2026-05-03",0.0225,0.04416666666666667,0.51,6,0,2,FALSE
"流行性角結膜炎","愛知県","2026-18","2026-05-03",0.19999999999999998,0.1975,1.01,8,0.02,2.6364,FALSE
"無菌性髄膜炎","愛知県","2026-18","2026-05-03",0.14750000000000002,0.03916666666666667,3.77,NA,NA,1.5385,FALSE
"突発性発しん","愛知県","2026-18","2026-05-03",0.2525,0.1975,1.28,NA,NA,0.8,FALSE
"細菌性髄膜炎","愛知県","2026-18","2026-05-03",0.05,0.028333333333333335,1.76,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","新潟県","2026-18","2026-05-03",4.6575,3.2091666666666665,1.45,8,0.58,1.117,FALSE
"RSウイルス","新潟県","2026-18","2026-05-03",0.6000000000000001,1.5083333333333333,0.4,NA,NA,0.4458,FALSE
"インフルエンザ","新潟県","2026-18","2026-05-03",1.4275,6.55,0.22,30,0.05,0.514,FALSE
"ヘルパンギーナ","新潟県","2026-18","2026-05-03",0.015,0.008333333333333333,1.8,6,0,NA,FALSE
"マイコプラズマ肺炎","新潟県","2026-18","2026-05-03",0.36750000000000005,0.12166666666666667,3.02,NA,NA,1.3478,FALSE
"伝染性紅斑","新潟県","2026-18","2026-05-03",0.385,0.5091666666666667,0.76,2,0.19,1.1622,FALSE
"咽頭結膜熱","新潟県","2026-18","2026-05-03",0.2,0.7525000000000001,0.27,3,0.07,0.7391,FALSE
"急性出血性結膜炎","新潟県","2026-18","2026-05-03",0.1325,0.06666666666666667,1.99,1,0.13,NA,FALSE
"感染性胃腸炎","新潟県","2026-18","2026-05-03",4.3,4.4925,0.96,20,0.22,1.2071,FALSE
"感染性胃腸炎（ロタウイルス）","新潟県","2026-18","2026-05-03",0,0.012499999999999999,0,NA,NA,NA,FALSE
"手足口病","新潟県","2026-18","2026-05-03",0.05,0.07416666666666667,0.67,5,0.01,NA,FALSE
"新型コロナウイルス","新潟県","2026-18","2026-05-03",0.8475,4.22375,0.2,NA,NA,0.8842,FALSE
"水痘","新潟県","2026-18","2026-05-03",0.4325,0.17416666666666666,2.48,2,0.22,1.6667,FALSE
"流行性耳下腺炎","新潟県","2026-18","2026-05-03",0,0.04583333333333334,0,6,0,NA,FALSE
"流行性角結膜炎","新潟県","2026-18","2026-05-03",0.45250000000000007,0.3416666666666667,1.32,8,0.06,3.25,FALSE
"無菌性髄膜炎","新潟県","2026-18","2026-05-03",0,0.006666666666666667,0,NA,NA,NA,FALSE
"突発性発しん","新潟県","2026-18","2026-05-03",0.2,0.25,0.8,NA,NA,3.2857,FALSE
"細菌性髄膜炎","新潟県","2026-18","2026-05-03",0.0775,0.006666666666666667,11.62,NA,NA,1.875,FALSE
"A群溶血性レンサ球菌咽頭炎","東京都","2026-18","2026-05-03",1.705,2.3741666666666665,0.72,8,0.21,1,FALSE
"RSウイルス","東京都","2026-18","2026-05-03",0.27,0.8125,0.33,NA,NA,0.7778,FALSE
"インフルエンザ","東京都","2026-18","2026-05-03",0.5,1.1891666666666667,0.42,30,0.02,0.7333,FALSE
"クラミジア肺炎","東京都","2026-18","2026-05-03",0.03,0.02666666666666667,1.12,NA,NA,1,FALSE
"ヘルパンギーナ","東京都","2026-18","2026-05-03",0.024999999999999998,0.05666666666666667,0.44,6,0,1,FALSE
"マイコプラズマ肺炎","東京都","2026-18","2026-05-03",0.1,0.08,1.25,NA,NA,0.75,FALSE
"伝染性紅斑","東京都","2026-18","2026-05-03",0.04,0.31666666666666665,0.13,2,0.02,0.75,FALSE
"咽頭結膜熱","東京都","2026-18","2026-05-03",0.1475,0.25916666666666666,0.57,3,0.05,1,FALSE
"急性出血性結膜炎","東京都","2026-18","2026-05-03",0,0.018333333333333333,0,1,0,NA,FALSE
"感染性胃腸炎","東京都","2026-18","2026-05-03",5.26,5.4383333333333335,0.97,20,0.26,0.8744,FALSE
"感染性胃腸炎（ロタウイルス）","東京都","2026-18","2026-05-03",0.16,0.05333333333333333,3,NA,NA,0.4,FALSE
"手足口病","東京都","2026-18","2026-05-03",0.10250000000000001,0.10833333333333334,0.95,5,0.02,1,FALSE
"新型コロナウイルス","東京都","2026-18","2026-05-03",0.5399999999999999,1.59125,0.34,NA,NA,0.6481,FALSE
"水痘","東京都","2026-18","2026-05-03",0.355,0.2916666666666667,1.22,2,0.18,0.878,FALSE
"流行性耳下腺炎","東京都","2026-18","2026-05-03",0.0425,0.059166666666666666,0.72,6,0.01,1,FALSE
"流行性角結膜炎","東京都","2026-18","2026-05-03",0.3975,0.45416666666666666,0.88,8,0.05,0.7593,FALSE
"無菌性髄膜炎","東京都","2026-18","2026-05-03",0.05,0.023333333333333334,2.14,NA,NA,0,FALSE
"突発性発しん","東京都","2026-18","2026-05-03",0.2975,0.3175,0.94,NA,NA,1.1379,FALSE
"細菌性髄膜炎","東京都","2026-18","2026-05-03",0.01,0.016666666666666666,0.6,NA,NA,0,FALSE
"A群溶血性レンサ球菌咽頭炎","栃木県","2026-18","2026-05-03",3.6,2.8033333333333332,1.28,8,0.45,0.6866,FALSE
"RSウイルス","栃木県","2026-18","2026-05-03",0.62,0.7266666666666667,0.85,NA,NA,1.4318,FALSE
"インフルエンザ","栃木県","2026-18","2026-05-03",0.6,1.4366666666666668,0.42,30,0.02,0.6786,FALSE
"クラミジア肺炎","栃木県","2026-18","2026-05-03",0.035,0.011666666666666667,3,NA,NA,NA,FALSE
"ヘルパンギーナ","栃木県","2026-18","2026-05-03",0.01,0.013333333333333332,0.75,6,0,0,FALSE
"マイコプラズマ肺炎","栃木県","2026-18","2026-05-03",0,0.0475,0,NA,NA,NA,FALSE
"伝染性紅斑","栃木県","2026-18","2026-05-03",0.065,1.565,0.04,2,0.03,0,FALSE
"咽頭結膜熱","栃木県","2026-18","2026-05-03",0.08249999999999999,0.2,0.41,3,0.03,0.6364,FALSE
"感染性胃腸炎","栃木県","2026-18","2026-05-03",3.2775,3.5058333333333334,0.93,20,0.16,0.5643,FALSE
"感染性胃腸炎（ロタウイルス）","栃木県","2026-18","2026-05-03",0.10500000000000001,0.08416666666666667,1.25,NA,NA,1,FALSE
"手足口病","栃木県","2026-18","2026-05-03",0.02,0.085,0.24,5,0,1,FALSE
"新型コロナウイルス","栃木県","2026-18","2026-05-03",0.5225,2.67375,0.2,NA,NA,1.9643,FALSE
"水痘","栃木県","2026-18","2026-05-03",0.1475,0.11916666666666667,1.24,2,0.07,0.4231,FALSE
"流行性耳下腺炎","栃木県","2026-18","2026-05-03",0.03,0.0625,0.48,6,0,NA,FALSE
"流行性角結膜炎","栃木県","2026-18","2026-05-03",0.8125,0.84,0.97,8,0.1,0.463,FALSE
"無菌性髄膜炎","栃木県","2026-18","2026-05-03",0.0725,0.035833333333333335,2.02,NA,NA,NA,FALSE
"突発性発しん","栃木県","2026-18","2026-05-03",0.37000000000000005,0.39166666666666666,0.94,NA,NA,0.6875,FALSE
"細菌性髄膜炎","栃木県","2026-18","2026-05-03",0,0.023333333333333334,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","沖縄県","2026-18","2026-05-03",1.23,2.0125,0.61,8,0.15,1.2946,FALSE
"RSウイルス","沖縄県","2026-18","2026-05-03",0.5125,1.0641666666666667,0.48,NA,NA,0.5682,FALSE
"インフルエンザ","沖縄県","2026-18","2026-05-03",3.63,2.3041666666666667,1.58,30,0.12,0.7084,FALSE
"ヘルパンギーナ","沖縄県","2026-18","2026-05-03",0.155,0.17,0.91,6,0.03,1.381,FALSE
"マイコプラズマ肺炎","沖縄県","2026-18","2026-05-03",0.035,0.6900000000000001,0.05,NA,NA,NA,FALSE
"伝染性紅斑","沖縄県","2026-18","2026-05-03",0.01,0.14833333333333334,0.07,2,0,NA,FALSE
"咽頭結膜熱","沖縄県","2026-18","2026-05-03",0.3225,0.4475,0.72,3,0.11,1.5152,FALSE
"急性出血性結膜炎","沖縄県","2026-18","2026-05-03",0,0.010833333333333334,0,1,0,NA,FALSE
"感染性胃腸炎","沖縄県","2026-18","2026-05-03",3.49,2.694166666666667,1.3,20,0.17,1.3121,FALSE
"感染性胃腸炎（ロタウイルス）","沖縄県","2026-18","2026-05-03",0,0.0725,0,NA,NA,NA,FALSE
"手足口病","沖縄県","2026-18","2026-05-03",0.09499999999999999,1.9016666666666666,0.05,5,0.02,1.6154,FALSE
"新型コロナウイルス","沖縄県","2026-18","2026-05-03",1.3375,4.2125,0.32,NA,NA,1.1207,FALSE
"水痘","沖縄県","2026-18","2026-05-03",0.825,0.43916666666666665,1.88,2,0.41,0.4792,FALSE
"流行性耳下腺炎","沖縄県","2026-18","2026-05-03",0,0.08333333333333333,0,6,0,NA,FALSE
"流行性角結膜炎","沖縄県","2026-18","2026-05-03",1.3875000000000002,2.470833333333333,0.56,8,0.17,0.7472,FALSE
"無菌性髄膜炎","沖縄県","2026-18","2026-05-03",0.1075,0.011666666666666667,9.21,NA,NA,NA,FALSE
"突発性発しん","沖縄県","2026-18","2026-05-03",0.22999999999999998,0.20083333333333334,1.15,NA,NA,2.625,FALSE
"細菌性髄膜炎","沖縄県","2026-18","2026-05-03",0.035,0.035833333333333335,0.98,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","滋賀県","2026-18","2026-05-03",1.6600000000000001,1.4641666666666666,1.13,8,0.21,0.5885,FALSE
"RSウイルス","滋賀県","2026-18","2026-05-03",0.4125,1.1275,0.37,NA,NA,0.7429,FALSE
"インフルエンザ","滋賀県","2026-18","2026-05-03",0.7825,1.3441666666666667,0.58,30,0.03,1.2857,FALSE
"ヘルパンギーナ","滋賀県","2026-18","2026-05-03",0.02,0.05583333333333333,0.36,6,0,0,FALSE
"マイコプラズマ肺炎","滋賀県","2026-18","2026-05-03",0.035,0.10583333333333333,0.33,NA,NA,NA,FALSE
"伝染性紅斑","滋賀県","2026-18","2026-05-03",0.052500000000000005,0.22583333333333333,0.23,2,0.03,NA,FALSE
"咽頭結膜熱","滋賀県","2026-18","2026-05-03",0.2175,0.29,0.75,3,0.07,2,FALSE
"感染性胃腸炎","滋賀県","2026-18","2026-05-03",3.3475,3.9141666666666666,0.86,20,0.17,0.927,FALSE
"感染性胃腸炎（ロタウイルス）","滋賀県","2026-18","2026-05-03",0,0.011666666666666667,0,NA,NA,NA,FALSE
"手足口病","滋賀県","2026-18","2026-05-03",0.085,0.13583333333333333,0.63,5,0.02,0.7647,FALSE
"新型コロナウイルス","滋賀県","2026-18","2026-05-03",0.6025,2.185,0.28,NA,NA,0.8226,FALSE
"水痘","滋賀県","2026-18","2026-05-03",0.4125,0.165,2.5,2,0.21,1.1143,FALSE
"流行性耳下腺炎","滋賀県","2026-18","2026-05-03",0.0325,0.050833333333333335,0.64,6,0.01,2.25,FALSE
"流行性角結膜炎","滋賀県","2026-18","2026-05-03",0,0.055,0,8,0,NA,FALSE
"無菌性髄膜炎","滋賀県","2026-18","2026-05-03",0.14,0.035,4,NA,NA,1,FALSE
"突発性発しん","滋賀県","2026-18","2026-05-03",0.14250000000000002,0.23583333333333334,0.6,NA,NA,2.4444,FALSE
"細菌性髄膜炎","滋賀県","2026-18","2026-05-03",0,0.011666666666666667,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","熊本県","2026-18","2026-05-03",3.5575,1.9258333333333333,1.85,8,0.44,1.1983,FALSE
"RSウイルス","熊本県","2026-18","2026-05-03",0.4125,0.615,0.67,NA,NA,0.5778,FALSE
"インフルエンザ","熊本県","2026-18","2026-05-03",0.6499999999999999,1.0241666666666667,0.63,30,0.02,0.6216,FALSE
"ヘルパンギーナ","熊本県","2026-18","2026-05-03",0.1325,0.8183333333333334,0.16,6,0.02,1.7692,FALSE
"マイコプラズマ肺炎","熊本県","2026-18","2026-05-03",0.1325,0.15583333333333332,0.85,NA,NA,0.5385,FALSE
"伝染性紅斑","熊本県","2026-18","2026-05-03",0.22,0.10833333333333334,2.03,2,0.11,0.7,FALSE
"咽頭結膜熱","熊本県","2026-18","2026-05-03",0.26,0.2975,0.87,3,0.09,1.1304,FALSE
"感染性胃腸炎","熊本県","2026-18","2026-05-03",4.1450000000000005,5.685,0.73,20,0.21,1.1331,FALSE
"感染性胃腸炎（ロタウイルス）","熊本県","2026-18","2026-05-03",0.035,0.05583333333333334,0.63,NA,NA,NA,FALSE
"手足口病","熊本県","2026-18","2026-05-03",0.6124999999999999,0.32583333333333336,1.88,5,0.12,2.4706,FALSE
"新型コロナウイルス","熊本県","2026-18","2026-05-03",0.44249999999999995,2.0375,0.22,NA,NA,0.7292,FALSE
"水痘","熊本県","2026-18","2026-05-03",0.325,0.175,1.86,2,0.16,1.4615,FALSE
"流行性耳下腺炎","熊本県","2026-18","2026-05-03",0.0475,0.034166666666666665,1.39,6,0.01,0.1818,FALSE
"流行性角結膜炎","熊本県","2026-18","2026-05-03",0.555,0.8925000000000001,0.62,8,0.07,0.5,FALSE
"無菌性髄膜炎","熊本県","2026-18","2026-05-03",0.0675,0.023333333333333334,2.89,NA,NA,2.8571,FALSE
"突発性発しん","熊本県","2026-18","2026-05-03",0.5675,0.5675,1,NA,NA,1.2364,FALSE
"細菌性髄膜炎","熊本県","2026-18","2026-05-03",0,0.011666666666666667,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","石川県","2026-18","2026-05-03",4.535,1.8158333333333332,2.5,8,0.57,1.3986,FALSE
"RSウイルス","石川県","2026-18","2026-05-03",0.75,1.1391666666666667,0.66,NA,NA,0.5246,FALSE
"インフルエンザ","石川県","2026-18","2026-05-03",1.56,1.075,1.45,30,0.05,0.8404,FALSE
"ヘルパンギーナ","石川県","2026-18","2026-05-03",0.0975,0.1825,0.53,6,0.02,1,FALSE
"マイコプラズマ肺炎","石川県","2026-18","2026-05-03",0.1,0.13333333333333333,0.75,NA,NA,NA,FALSE
"伝染性紅斑","石川県","2026-18","2026-05-03",0.02,0.8016666666666666,0.02,2,0.01,NA,FALSE
"咽頭結膜熱","石川県","2026-18","2026-05-03",0.3675,0.38666666666666666,0.95,3,0.12,1.44,FALSE
"急性出血性結膜炎","石川県","2026-18","2026-05-03",0,0.26166666666666666,0,1,0,NA,FALSE
"感染性胃腸炎","石川県","2026-18","2026-05-03",7.0975,9.893333333333333,0.72,20,0.35,1.2489,FALSE
"感染性胃腸炎（ロタウイルス）","石川県","2026-18","2026-05-03",0.1,0.06666666666666667,1.5,NA,NA,0,FALSE
"手足口病","石川県","2026-18","2026-05-03",0.5275000000000001,0.31,1.7,5,0.11,2.3846,FALSE
"新型コロナウイルス","石川県","2026-18","2026-05-03",0.495,2.62125,0.19,NA,NA,0.8833,FALSE
"水痘","石川県","2026-18","2026-05-03",0.44500000000000006,0.185,2.41,2,0.22,1.3846,FALSE
"流行性耳下腺炎","石川県","2026-18","2026-05-03",0.01,0.018333333333333333,0.55,6,0,NA,FALSE
"流行性角結膜炎","石川県","2026-18","2026-05-03",0.6799999999999999,0.835,0.81,8,0.08,0.5,FALSE
"無菌性髄膜炎","石川県","2026-18","2026-05-03",0,0.016666666666666666,0,NA,NA,NA,FALSE
"突発性発しん","石川県","2026-18","2026-05-03",0.1325,0.24416666666666667,0.54,NA,NA,0.7857,FALSE
"A群溶血性レンサ球菌咽頭炎","神奈川県","2026-18","2026-05-03",2.1825,1.8425,1.18,8,0.27,1.1102,FALSE
"RSウイルス","神奈川県","2026-18","2026-05-03",0.24,0.6066666666666667,0.4,NA,NA,1.2609,FALSE
"インフルエンザ","神奈川県","2026-18","2026-05-03",0.5775,1.1475,0.5,30,0.02,0.5946,FALSE
"ヘルパンギーナ","神奈川県","2026-18","2026-05-03",0.0125,0.0425,0.29,6,0,1,FALSE
"マイコプラズマ肺炎","神奈川県","2026-18","2026-05-03",0.125,0.11166666666666666,1.12,NA,NA,2.125,FALSE
"伝染性紅斑","神奈川県","2026-18","2026-05-03",0.04,0.48083333333333333,0.08,2,0.02,0.5,FALSE
"咽頭結膜熱","神奈川県","2026-18","2026-05-03",0.1075,0.2,0.54,3,0.04,1.4,FALSE
"急性出血性結膜炎","神奈川県","2026-18","2026-05-03",0,0.043333333333333335,0,1,0,NA,FALSE
"感染性胃腸炎","神奈川県","2026-18","2026-05-03",4.1725,4.194166666666667,0.99,20,0.21,0.9073,FALSE
"感染性胃腸炎（ロタウイルス）","神奈川県","2026-18","2026-05-03",0.0625,0.059166666666666666,1.06,NA,NA,0,FALSE
"手足口病","神奈川県","2026-18","2026-05-03",0.05,0.08,0.62,5,0.01,0.4,FALSE
"新型コロナウイルス","神奈川県","2026-18","2026-05-03",0.645,1.96625,0.33,NA,NA,0.6875,FALSE
"水痘","神奈川県","2026-18","2026-05-03",0.35000000000000003,0.375,0.93,2,0.18,0.8293,FALSE
"流行性耳下腺炎","神奈川県","2026-18","2026-05-03",0.047499999999999994,0.055,0.86,6,0.01,3,FALSE
"流行性角結膜炎","神奈川県","2026-18","2026-05-03",0.6875,1.1425,0.6,8,0.09,1.4237,FALSE
"無菌性髄膜炎","神奈川県","2026-18","2026-05-03",0.10500000000000001,0.10666666666666666,0.98,NA,NA,1,FALSE
"突発性発しん","神奈川県","2026-18","2026-05-03",0.3175,0.275,1.15,NA,NA,1.1515,FALSE
"細菌性髄膜炎","神奈川県","2026-18","2026-05-03",0.02,0.013333333333333334,1.5,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","福井県","2026-18","2026-05-03",3.9299999999999997,2.243333333333333,1.75,8,0.49,0.9247,FALSE
"RSウイルス","福井県","2026-18","2026-05-03",0.47000000000000003,2.7783333333333333,0.17,NA,NA,0.8889,FALSE
"インフルエンザ","福井県","2026-18","2026-05-03",1.42,0.9175,1.55,30,0.05,0.4857,FALSE
"ヘルパンギーナ","福井県","2026-18","2026-05-03",0.24000000000000002,0.35333333333333333,0.68,6,0.04,1,FALSE
"マイコプラズマ肺炎","福井県","2026-18","2026-05-03",0.375,0.6941666666666667,0.54,NA,NA,NA,FALSE
"伝染性紅斑","福井県","2026-18","2026-05-03",0.1,0.22,0.45,2,0.05,1.5,FALSE
"咽頭結膜熱","福井県","2026-18","2026-05-03",0.3,0.6758333333333333,0.44,3,0.1,0.7778,FALSE
"感染性胃腸炎","福井県","2026-18","2026-05-03",4.86,6.479166666666667,0.75,20,0.24,1.0472,FALSE
"感染性胃腸炎（ロタウイルス）","福井県","2026-18","2026-05-03",0.2475,0.07,3.54,NA,NA,1,FALSE
"手足口病","福井県","2026-18","2026-05-03",1.39,1.1633333333333333,1.19,5,0.28,1.175,FALSE
"新型コロナウイルス","福井県","2026-18","2026-05-03",0.8975,1.72,0.52,NA,NA,0.7603,FALSE
"水痘","福井県","2026-18","2026-05-03",0.30000000000000004,0.10666666666666667,2.81,2,0.15,3,FALSE
"流行性耳下腺炎","福井県","2026-18","2026-05-03",0.01,0.050833333333333335,0.2,6,0,NA,FALSE
"流行性角結膜炎","福井県","2026-18","2026-05-03",0.25,0.13916666666666666,1.8,8,0.03,NA,FALSE
"無菌性髄膜炎","福井県","2026-18","2026-05-03",0.0425,0.07,0.61,NA,NA,NA,FALSE
"突発性発しん","福井県","2026-18","2026-05-03",0.22,0.29,0.76,NA,NA,1,FALSE
"細菌性髄膜炎","福井県","2026-18","2026-05-03",0,0.05583333333333334,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","福岡県","2026-18","2026-05-03",5.21,3.8158333333333334,1.37,8,0.65,0.9145,FALSE
"RSウイルス","福岡県","2026-18","2026-05-03",1.3225000000000002,1.3675,0.97,NA,NA,0.6444,FALSE
"インフルエンザ","福岡県","2026-18","2026-05-03",0.635,1.2608333333333333,0.5,30,0.02,0.5385,FALSE
"ヘルパンギーナ","福岡県","2026-18","2026-05-03",0.16999999999999998,0.3075,0.55,6,0.03,2,FALSE
"マイコプラズマ肺炎","福岡県","2026-18","2026-05-03",0.0675,0.09916666666666667,0.68,NA,NA,0,FALSE
"伝染性紅斑","福岡県","2026-18","2026-05-03",0.04,0.31916666666666665,0.13,2,0.02,1,FALSE
"咽頭結膜熱","福岡県","2026-18","2026-05-03",0.7825,0.4941666666666667,1.58,3,0.26,0.8444,FALSE
"急性出血性結膜炎","福岡県","2026-18","2026-05-03",0.0475,0.023333333333333334,2.04,1,0.05,NA,FALSE
"感染性胃腸炎","福岡県","2026-18","2026-05-03",5.46,6.314166666666667,0.86,20,0.27,0.7643,FALSE
"感染性胃腸炎（ロタウイルス）","福岡県","2026-18","2026-05-03",0.05,0.13416666666666666,0.37,NA,NA,0,FALSE
"手足口病","福岡県","2026-18","2026-05-03",0.8125,0.3925,2.07,5,0.16,1.3103,FALSE
"新型コロナウイルス","福岡県","2026-18","2026-05-03",0.3025,1.81625,0.17,NA,NA,1.2286,FALSE
"水痘","福岡県","2026-18","2026-05-03",0.64,0.3125,2.05,2,0.32,0.9178,FALSE
"流行性耳下腺炎","福岡県","2026-18","2026-05-03",0.052500000000000005,0.07416666666666667,0.71,6,0.01,0.8571,FALSE
"流行性角結膜炎","福岡県","2026-18","2026-05-03",1.015,0.35083333333333333,2.89,8,0.13,0.471,FALSE
"無菌性髄膜炎","福岡県","2026-18","2026-05-03",0.035,0.0175,2,NA,NA,NA,FALSE
"突発性発しん","福岡県","2026-18","2026-05-03",0.44999999999999996,0.4266666666666667,1.05,NA,NA,1,FALSE
"細菌性髄膜炎","福岡県","2026-18","2026-05-03",0.05,0.011666666666666667,4.29,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","福島県","2026-18","2026-05-03",2.3125,2.4966666666666666,0.93,8,0.29,1.2222,FALSE
"RSウイルス","福島県","2026-18","2026-05-03",0.5449999999999999,1.0225,0.53,NA,NA,0.5,FALSE
"インフルエンザ","福島県","2026-18","2026-05-03",1.1025,2.194166666666667,0.5,30,0.04,0.8072,FALSE
"クラミジア肺炎","福島県","2026-18","2026-05-03",0.035,0.011666666666666667,3,NA,NA,NA,FALSE
"ヘルパンギーナ","福島県","2026-18","2026-05-03",0.01,0.008333333333333333,1.2,6,0,NA,FALSE
"マイコプラズマ肺炎","福島県","2026-18","2026-05-03",0.1075,0.1075,1,NA,NA,0.4828,FALSE
"伝染性紅斑","福島県","2026-18","2026-05-03",0.01,1.11,0.01,2,0,NA,FALSE
"咽頭結膜熱","福島県","2026-18","2026-05-03",0.195,0.4716666666666667,0.41,3,0.06,0.2188,FALSE
"急性出血性結膜炎","福島県","2026-18","2026-05-03",0,0.006666666666666667,0,1,0,NA,FALSE
"感染性胃腸炎","福島県","2026-18","2026-05-03",4.3375,4.1775,1.04,20,0.22,0.9718,FALSE
"感染性胃腸炎（ロタウイルス）","福島県","2026-18","2026-05-03",0,0.095,0,NA,NA,NA,FALSE
