"category","pref","year_week","reference_date","current_ma4","baseline_ma4","ratio_heinen","alert_start","ratio_alert","ratio_wow","in_alert_level"
"突発性発しん","富山県","2026-18","2026-05-03",0.2325,0.215,1.08,NA,NA,1.619,FALSE
"A群溶血性レンサ球菌咽頭炎","山口県","2026-18","2026-05-03",3.355,3.0366666666666666,1.1,8,0.42,0.7143,FALSE
"RSウイルス","山口県","2026-18","2026-05-03",0.8825,1.8908333333333334,0.47,NA,NA,0.5631,FALSE
"インフルエンザ","山口県","2026-18","2026-05-03",0.9424999999999999,1.6858333333333333,0.56,30,0.03,0.5806,FALSE
"ヘルパンギーナ","山口県","2026-18","2026-05-03",0.0275,0.15333333333333332,0.18,6,0,NA,FALSE
"マイコプラズマ肺炎","山口県","2026-18","2026-05-03",0.22,0.185,1.19,NA,NA,1,FALSE
"伝染性紅斑","山口県","2026-18","2026-05-03",0.19999999999999998,0.13416666666666666,1.49,2,0.1,0.5517,FALSE
"咽頭結膜熱","山口県","2026-18","2026-05-03",0.32999999999999996,0.2775,1.19,3,0.11,1.75,FALSE
"感染性胃腸炎","山口県","2026-18","2026-05-03",4.5975,6.77,0.68,20,0.23,0.9067,FALSE
"感染性胃腸炎（ロタウイルス）","山口県","2026-18","2026-05-03",0,0.15666666666666668,0,NA,NA,NA,FALSE
"手足口病","山口県","2026-18","2026-05-03",0.035,0.045000000000000005,0.78,5,0.01,3.6667,FALSE
"新型コロナウイルス","山口県","2026-18","2026-05-03",0.48,1.8175,0.26,NA,NA,1.4419,FALSE
"水痘","山口県","2026-18","2026-05-03",0.16,0.07,2.29,2,0.08,0.1351,FALSE
"流行性耳下腺炎","山口県","2026-18","2026-05-03",0.02,0.03916666666666667,0.51,6,0,0,FALSE
"流行性角結膜炎","山口県","2026-18","2026-05-03",1.1375000000000002,0.49083333333333334,2.32,8,0.14,0.5495,FALSE
"無菌性髄膜炎","山口県","2026-18","2026-05-03",0.0275,0.0275,1,NA,NA,NA,FALSE
"突発性発しん","山口県","2026-18","2026-05-03",0.455,0.4033333333333333,1.13,NA,NA,1.3095,FALSE
"A群溶血性レンサ球菌咽頭炎","山形県","2026-18","2026-05-03",5.425,4.041666666666667,1.34,8,0.68,0.9637,FALSE
"RSウイルス","山形県","2026-18","2026-05-03",1.9324999999999999,0.6166666666666667,3.13,NA,NA,0.6188,FALSE
"インフルエンザ","山形県","2026-18","2026-05-03",3.8,4.37,0.87,30,0.13,0.643,FALSE
"ヘルパンギーナ","山形県","2026-18","2026-05-03",0.01,0.013333333333333334,0.75,6,0,NA,FALSE
"マイコプラズマ肺炎","山形県","2026-18","2026-05-03",0,0.11666666666666667,0,NA,NA,NA,FALSE
"伝染性紅斑","山形県","2026-18","2026-05-03",0.05,1.0975,0.05,2,0.03,NA,FALSE
"咽頭結膜熱","山形県","2026-18","2026-05-03",0.32,0.5866666666666667,0.55,3,0.11,1.8421,FALSE
"感染性胃腸炎","山形県","2026-18","2026-05-03",4.1175,4.629166666666666,0.89,20,0.21,0.708,FALSE
"感染性胃腸炎（ロタウイルス）","山形県","2026-18","2026-05-03",0,0.058333333333333334,0,NA,NA,NA,FALSE
"手足口病","山形県","2026-18","2026-05-03",0.02,0.049166666666666664,0.41,5,0,0,FALSE
"新型コロナウイルス","山形県","2026-18","2026-05-03",0.9825,3.9387499999999998,0.25,NA,NA,0.6525,FALSE
"水痘","山形県","2026-18","2026-05-03",0.38749999999999996,0.29833333333333334,1.3,2,0.19,0.3913,FALSE
"流行性耳下腺炎","山形県","2026-18","2026-05-03",0,0.04583333333333333,0,6,0,NA,FALSE
"流行性角結膜炎","山形県","2026-18","2026-05-03",0.315,0.21333333333333332,1.48,8,0.04,1.9231,FALSE
"無菌性髄膜炎","山形県","2026-18","2026-05-03",0,0.008333333333333333,0,NA,NA,NA,FALSE
"突発性発しん","山形県","2026-18","2026-05-03",0.4,0.30833333333333335,1.3,NA,NA,0.4355,FALSE
"A群溶血性レンサ球菌咽頭炎","山梨県","2026-18","2026-05-03",0.9774999999999999,1.4141666666666666,0.69,8,0.12,1.3837,FALSE
"RSウイルス","山梨県","2026-18","2026-05-03",0.1675,0.3055555555555556,0.55,NA,NA,0.5833,FALSE
"インフルエンザ","山梨県","2026-18","2026-05-03",0.3025,1.9966666666666666,0.15,30,0.01,2.2222,FALSE
"ヘルパンギーナ","山梨県","2026-18","2026-05-03",0,0.0175,0,6,0,NA,FALSE
"マイコプラズマ肺炎","山梨県","2026-18","2026-05-03",0.07500000000000001,0.09166666666666667,0.82,NA,NA,0,FALSE
"伝染性紅斑","山梨県","2026-18","2026-05-03",0.05,0.10166666666666667,0.49,2,0.03,0.5,FALSE
"咽頭結膜熱","山梨県","2026-18","2026-05-03",0.12000000000000001,0.22833333333333333,0.53,3,0.04,2,FALSE
"感染性胃腸炎","山梨県","2026-18","2026-05-03",2.9149999999999996,3.4408333333333334,0.85,20,0.15,0.7591,FALSE
"手足口病","山梨県","2026-18","2026-05-03",0,0.14583333333333334,0,5,0,NA,FALSE
"新型コロナウイルス","山梨県","2026-18","2026-05-03",1.13,3.175,0.36,NA,NA,1,FALSE
"水痘","山梨県","2026-18","2026-05-03",0.3,0.065,4.62,2,0.15,1.2083,FALSE
"流行性耳下腺炎","山梨県","2026-18","2026-05-03",0.037500000000000006,0.0475,0.79,6,0.01,NA,FALSE
"流行性角結膜炎","山梨県","2026-18","2026-05-03",0.0825,1.1658333333333333,0.07,8,0.01,0,FALSE
"無菌性髄膜炎","山梨県","2026-18","2026-05-03",0.025,0.008333333333333333,3,NA,NA,0,FALSE
"突発性発しん","山梨県","2026-18","2026-05-03",0.19000000000000003,0.19666666666666666,0.97,NA,NA,0.7273,FALSE
"細菌性髄膜炎","山梨県","2026-18","2026-05-03",0.025,0.008333333333333333,3,NA,NA,0,FALSE
"A群溶血性レンサ球菌咽頭炎","岐阜県","2026-18","2026-05-03",1.8575,1.6425,1.13,8,0.23,1,FALSE
"RSウイルス","岐阜県","2026-18","2026-05-03",0.305,0.9875,0.31,NA,NA,1.3333,FALSE
"インフルエンザ","岐阜県","2026-18","2026-05-03",0.6425000000000001,1.1366666666666667,0.57,30,0.02,0.0323,FALSE
"ヘルパンギーナ","岐阜県","2026-18","2026-05-03",0.0575,0.008333333333333333,6.9,6,0.01,1,FALSE
"マイコプラズマ肺炎","岐阜県","2026-18","2026-05-03",0.25,0.16666666666666669,1.5,NA,NA,1,FALSE
"伝染性紅斑","岐阜県","2026-18","2026-05-03",0.0675,0.14416666666666667,0.47,2,0.03,2.75,FALSE
"咽頭結膜熱","岐阜県","2026-18","2026-05-03",0.1225,0.275,0.45,3,0.04,2.3636,FALSE
"感染性胃腸炎","岐阜県","2026-18","2026-05-03",8.9425,5.656666666666666,1.58,20,0.45,0.8416,FALSE
"感染性胃腸炎（ロタウイルス）","岐阜県","2026-18","2026-05-03",0.2,0.25,0.8,NA,NA,0.5,FALSE
"手足口病","岐阜県","2026-18","2026-05-03",0.115,0.09083333333333334,1.27,5,0.02,0,FALSE
"新型コロナウイルス","岐阜県","2026-18","2026-05-03",0.3175,2.93,0.11,NA,NA,1.2903,FALSE
"水痘","岐阜県","2026-18","2026-05-03",0.3,0.06583333333333333,4.56,2,0.15,0.7317,FALSE
"流行性耳下腺炎","岐阜県","2026-18","2026-05-03",0.04,0.03333333333333333,1.2,6,0.01,NA,FALSE
"流行性角結膜炎","岐阜県","2026-18","2026-05-03",0,0.09,0,8,0,NA,FALSE
"無菌性髄膜炎","岐阜県","2026-18","2026-05-03",0.1,0.1,1,NA,NA,0,FALSE
"突発性発しん","岐阜県","2026-18","2026-05-03",0.20749999999999996,0.19833333333333333,1.05,NA,NA,0.5,FALSE
"細菌性髄膜炎","岐阜県","2026-18","2026-05-03",0,0.016666666666666666,0,NA,NA,NA,FALSE
"A群溶血性レンサ球菌咽頭炎","岡山県","2026-18","2026-05-03",2.7074999999999996,1.4224999999999999,1.9,8,0.34,1.3986,FALSE
"RSウイルス","岡山県","2026-18","2026-05-03",0.5650000000000001,0.48833333333333334,1.16,NA,NA,0.7941,FALSE
"インフルエンザ","岡山県","2026-18","2026-05-03",1.02,1.5391666666666666,0.66,30,0.03,0.5,FALSE
"ヘルパンギーナ","岡山県","2026-18","2026-05-03",0.10500000000000001,0.07916666666666666,1.33,6,0.02,0.5,FALSE
"マイコプラズマ肺炎","岡山県","2026-18","2026-05-03",0.2,0.2,1,NA,NA,NA,FALSE
"伝染性紅斑","岡山県","2026-18","2026-05-03",0.115,0.058333333333333334,1.97,2,0.06,1.9091,FALSE
"咽頭結膜熱","岡山県","2026-18","2026-05-03",0.19749999999999998,0.36583333333333334,0.54,3,0.07,1,FALSE
"急性出血性結膜炎","岡山県","2026-18","2026-05-03",0,0.006666666666666667,0,1,0,NA,FALSE
"感染性胃腸炎","岡山県","2026-18","2026-05-03",5.4825,6.328333333333333,0.87,20,0.27,0.8654,FALSE
"感染性胃腸炎（ロタウイルス）","岡山県","2026-18","2026-05-03",0.05,0.15,0.33,NA,NA,NA,FALSE
"手足口病","岡山県","2026-18","2026-05-03",0.8325,0.3716666666666667,2.24,5,0.17,1.4494,FALSE
"新型コロナウイルス","岡山県","2026-18","2026-05-03",0.46,2.7025,0.17,NA,NA,0.5556,FALSE
"水痘","岡山県","2026-18","2026-05-03",0.375,0.13166666666666665,2.85,2,0.19,0.86,FALSE
"流行性耳下腺炎","岡山県","2026-18","2026-05-03",0.055,0.06583333333333334,0.84,6,0.01,0,FALSE
"流行性角結膜炎","岡山県","2026-18","2026-05-03",0.10500000000000001,0.195,0.54,8,0.01,NA,FALSE
"無菌性髄膜炎","岡山県","2026-18","2026-05-03",0.1,0.05,2,NA,NA,NA,FALSE
"突発性発しん","岡山県","2026-18","2026-05-03",0.3925,0.26,1.51,NA,NA,0.7544,FALSE
"A群溶血性レンサ球菌咽頭炎","岩手県","2026-18","2026-05-03",4.705,2.1525,2.19,8,0.59,1.0084,FALSE
