pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2020-01,1.8450000000000002,0.56,2020,1
三重県,A群溶血性レンサ球菌咽頭炎,2020-02,1.495,2.2,2020,2
三重県,A群溶血性レンサ球菌咽頭炎,2020-03,1.2950000000000002,2.22,2020,3
三重県,A群溶血性レンサ球菌咽頭炎,2020-04,1.9725000000000001,2.91,2020,4
三重県,A群溶血性レンサ球菌咽頭炎,2020-05,2.4400000000000004,2.43,2020,5
三重県,A群溶血性レンサ球菌咽頭炎,2020-06,2.5725000000000002,2.73,2020,6
三重県,A群溶血性レンサ球菌咽頭炎,2020-07,2.5125,1.98,2020,7
三重県,A群溶血性レンサ球菌咽頭炎,2020-08,2.39,2.42,2020,8
三重県,A群溶血性レンサ球菌咽頭炎,2020-09,2.2825,2,2020,9
三重県,A群溶血性レンサ球菌咽頭炎,2020-10,2.21,2.44,2020,10
三重県,A群溶血性レンサ球菌咽頭炎,2020-11,2.115,1.6,2020,11
三重県,A群溶血性レンサ球菌咽頭炎,2020-12,1.8725,1.45,2020,12
三重県,A群溶血性レンサ球菌咽頭炎,2020-13,1.6400000000000001,1.07,2020,13
三重県,A群溶血性レンサ球菌咽頭炎,2020-14,1.3199999999999998,1.16,2020,14
三重県,A群溶血性レンサ球菌咽頭炎,2020-15,1.2550000000000001,1.34,2020,15
三重県,A群溶血性レンサ球菌咽頭炎,2020-16,1.1325,0.96,2020,16
三重県,A群溶血性レンサ球菌咽頭炎,2020-17,1.0475,0.73,2020,17
三重県,A群溶血性レンサ球菌咽頭炎,2020-18,0.8574999999999999,0.4,2020,18
三重県,A群溶血性レンサ球菌咽頭炎,2020-19,0.5725,0.2,2020,19
三重県,A群溶血性レンサ球菌咽頭炎,2020-20,0.3725,0.16,2020,20
三重県,A群溶血性レンサ球菌咽頭炎,2020-21,0.3025,0.45,2020,21
三重県,A群溶血性レンサ球菌咽頭炎,2020-22,0.29250000000000004,0.36,2020,22
三重県,A群溶血性レンサ球菌咽頭炎,2020-23,0.365,0.49,2020,23
三重県,A群溶血性レンサ球菌咽頭炎,2020-24,0.465,0.56,2020,24
三重県,A群溶血性レンサ球菌咽頭炎,2020-25,0.48250000000000004,0.52,2020,25
三重県,A群溶血性レンサ球菌咽頭炎,2020-26,0.5325,0.56,2020,26
三重県,A群溶血性レンサ球菌咽頭炎,2020-27,0.5075000000000001,0.39,2020,27
三重県,A群溶血性レンサ球菌咽頭炎,2020-28,0.495,0.51,2020,28
三重県,A群溶血性レンサ球菌咽頭炎,2020-29,0.4325,0.27,2020,29
三重県,A群溶血性レンサ球菌咽頭炎,2020-30,0.35,0.23,2020,30
三重県,A群溶血性レンサ球菌咽頭炎,2020-31,0.3025,0.2,2020,31
三重県,A群溶血性レンサ球菌咽頭炎,2020-32,0.24500000000000002,0.28,2020,32
三重県,A群溶血性レンサ球菌咽頭炎,2020-33,0.21000000000000002,0.13,2020,33
三重県,A群溶血性レンサ球菌咽頭炎,2020-34,0.235,0.33,2020,34
三重県,A群溶血性レンサ球菌咽頭炎,2020-35,0.28,0.38,2020,35
三重県,A群溶血性レンサ球菌咽頭炎,2020-36,0.2875,0.31,2020,36
三重県,A群溶血性レンサ球菌咽頭炎,2020-37,0.3225,0.27,2020,37
三重県,A群溶血性レンサ球菌咽頭炎,2020-38,0.32500000000000007,0.34,2020,38
三重県,A群溶血性レンサ球菌咽頭炎,2020-39,0.3025,0.29,2020,39
三重県,A群溶血性レンサ球菌咽頭炎,2020-40,0.3,0.3,2020,40
三重県,A群溶血性レンサ球菌咽頭炎,2020-41,0.29000000000000004,0.23,2020,41
三重県,A群溶血性レンサ球菌咽頭炎,2020-42,0.28,0.3,2020,42
三重県,A群溶血性レンサ球菌咽頭炎,2020-43,0.305,0.39,2020,43
三重県,A群溶血性レンサ球菌咽頭炎,2020-44,0.27,0.16,2020,44
三重県,A群溶血性レンサ球菌咽頭炎,2020-45,0.29,0.31,2020,45
三重県,A群溶血性レンサ球菌咽頭炎,2020-46,0.305,0.36,2020,46
三重県,A群溶血性レンサ球菌咽頭炎,2020-47,0.35,0.57,2020,47
三重県,A群溶血性レンサ球菌咽頭炎,2020-48,0.39249999999999996,0.33,2020,48
三重県,A群溶血性レンサ球菌咽頭炎,2020-49,0.41999999999999993,0.42,2020,49
三重県,A群溶血性レンサ球菌咽頭炎,2020-50,0.43000000000000005,0.4,2020,50
三重県,A群溶血性レンサ球菌咽頭炎,2020-51,0.365,0.31,2020,51
三重県,A群溶血性レンサ球菌咽頭炎,2020-52,0.45999999999999996,0.71,2020,52
三重県,RSウイルス,2020-01,0.975,0.49,2020,1
三重県,RSウイルス,2020-02,0.9025000000000001,0.69,2020,2
三重県,RSウイルス,2020-03,0.8075,0.69,2020,3
