pref,category,year_week,ma4,weekly_value,yr,wk
三重県,RSウイルス,2025-20,0.6275,0.31,2025,20
三重県,RSウイルス,2025-21,0.4125,0.32,2025,21
三重県,RSウイルス,2025-22,0.315,0.32,2025,22
三重県,RSウイルス,2025-23,0.32,0.33,2025,23
三重県,RSウイルス,2025-24,0.29250000000000004,0.2,2025,24
三重県,RSウイルス,2025-25,0.28750000000000003,0.3,2025,25
三重県,RSウイルス,2025-26,0.31,0.41,2025,26
三重県,RSウイルス,2025-27,0.325,0.39,2025,27
三重県,RSウイルス,2025-28,0.3875,0.45,2025,28
三重県,RSウイルス,2025-29,0.4875,0.7,2025,29
三重県,RSウイルス,2025-30,0.5225,0.55,2025,30
三重県,RSウイルス,2025-31,0.68,1.02,2025,31
三重県,RSウイルス,2025-32,0.8700000000000001,1.21,2025,32
三重県,RSウイルス,2025-33,0.8300000000000001,0.54,2025,33
三重県,RSウイルス,2025-34,0.99,1.19,2025,34
三重県,RSウイルス,2025-35,1.275,2.16,2025,35
三重県,RSウイルス,2025-36,1.66,2.75,2025,36
三重県,RSウイルス,2025-37,2.0075,1.93,2025,37
三重県,RSウイルス,2025-38,2.2275,2.07,2025,38
三重県,RSウイルス,2025-39,2.0175,1.32,2025,39
三重県,RSウイルス,2025-40,1.71,1.52,2025,40
三重県,RSウイルス,2025-41,1.6075,1.52,2025,41
三重県,RSウイルス,2025-42,1.585,1.98,2025,42
三重県,RSウイルス,2025-43,1.8224999999999998,2.27,2025,43
三重県,RSウイルス,2025-44,1.8975,1.82,2025,44
三重県,RSウイルス,2025-45,1.8925,1.5,2025,45
三重県,RSウイルス,2025-46,1.8125,1.66,2025,46
三重県,RSウイルス,2025-47,1.53,1.14,2025,47
三重県,RSウイルス,2025-48,1.32,0.98,2025,48
三重県,RSウイルス,2025-49,1.2575,1.25,2025,49
三重県,RSウイルス,2025-50,1.0925,1,2025,50
三重県,RSウイルス,2025-51,1.0750000000000002,1.07,2025,51
三重県,RSウイルス,2025-52,1.03,0.8,2025,52
三重県,インフルエンザ,2025-01,40.79,36.54,2025,1
三重県,インフルエンザ,2025-02,45.4375,39.1,2025,2
三重県,インフルエンザ,2025-03,39.0125,18.51,2025,3
三重県,インフルエンザ,2025-05,24.65,4.45,2025,5
三重県,インフルエンザ,2025-06,16.14,2.5,2025,6
三重県,インフルエンザ,2025-07,6.765000000000001,1.6,2025,7
三重県,インフルエンザ,2025-08,2.4775,1.36,2025,8
三重県,インフルエンザ,2025-09,1.6350000000000002,1.08,2025,9
三重県,インフルエンザ,2025-10,1.33,1.28,2025,10
三重県,インフルエンザ,2025-11,1.1825,1.01,2025,11
