pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2021-01,0.33999999999999997,0.16,2021,1
三重県,A群溶血性レンサ球菌咽頭炎,2021-02,0.33999999999999997,0.31,2021,2
三重県,A群溶血性レンサ球菌咽頭炎,2021-03,0.21250000000000002,0.2,2021,3
三重県,A群溶血性レンサ球菌咽頭炎,2021-04,0.2675,0.4,2021,4
三重県,A群溶血性レンサ球菌咽頭炎,2021-05,0.31,0.33,2021,5
三重県,A群溶血性レンサ球菌咽頭炎,2021-06,0.315,0.33,2021,6
三重県,A群溶血性レンサ球菌咽頭炎,2021-07,0.33999999999999997,0.3,2021,7
三重県,A群溶血性レンサ球菌咽頭炎,2021-08,0.37250000000000005,0.53,2021,8
三重県,A群溶血性レンサ球菌咽頭炎,2021-09,0.3175,0.11,2021,9
三重県,A群溶血性レンサ球菌咽頭炎,2021-10,0.3025,0.27,2021,10
三重県,A群溶血性レンサ球菌咽頭炎,2021-11,0.3175,0.36,2021,11
三重県,A群溶血性レンサ球菌咽頭炎,2021-12,0.26,0.3,2021,12
三重県,A群溶血性レンサ球菌咽頭炎,2021-13,0.27749999999999997,0.18,2021,13
三重県,A群溶血性レンサ球菌咽頭炎,2021-14,0.255,0.18,2021,14
三重県,A群溶血性レンサ球菌咽頭炎,2021-15,0.22749999999999998,0.25,2021,15
三重県,A群溶血性レンサ球菌咽頭炎,2021-16,0.1975,0.18,2021,16
三重県,A群溶血性レンサ球菌咽頭炎,2021-17,0.24,0.35,2021,17
三重県,A群溶血性レンサ球菌咽頭炎,2021-18,0.27499999999999997,0.32,2021,18
三重県,A群溶血性レンサ球菌咽頭炎,2021-19,0.28,0.27,2021,19
三重県,A群溶血性レンサ球菌咽頭炎,2021-20,0.3375,0.41,2021,20
三重県,A群溶血性レンサ球菌咽頭炎,2021-21,0.3725,0.49,2021,21
三重県,A群溶血性レンサ球菌咽頭炎,2021-22,0.355,0.25,2021,22
三重県,A群溶血性レンサ球菌咽頭炎,2021-23,0.38999999999999996,0.41,2021,23
三重県,A群溶血性レンサ球菌咽頭炎,2021-24,0.33999999999999997,0.21,2021,24
三重県,A群溶血性レンサ球菌咽頭炎,2021-25,0.27,0.21,2021,25
三重県,A群溶血性レンサ球菌咽頭炎,2021-26,0.305,0.39,2021,26
三重県,A群溶血性レンサ球菌咽頭炎,2021-27,0.2425,0.16,2021,27
三重県,A群溶血性レンサ球菌咽頭炎,2021-28,0.265,0.3,2021,28
三重県,A群溶血性レンサ球菌咽頭炎,2021-29,0.28,0.27,2021,29
三重県,A群溶血性レンサ球菌咽頭炎,2021-30,0.27999999999999997,0.39,2021,30
三重県,A群溶血性レンサ球菌咽頭炎,2021-31,0.33,0.36,2021,31
三重県,A群溶血性レンサ球菌咽頭炎,2021-32,0.2725,0.07,2021,32
三重県,A群溶血性レンサ球菌咽頭炎,2021-33,0.2325,0.11,2021,33
三重県,A群溶血性レンサ球菌咽頭炎,2021-34,0.1475,0.05,2021,34
三重県,A群溶血性レンサ球菌咽頭炎,2021-35,0.1075,0.2,2021,35
三重県,A群溶血性レンサ球菌咽頭炎,2021-36,0.095,0.02,2021,36
三重県,A群溶血性レンサ球菌咽頭炎,2021-37,0.14250000000000002,0.3,2021,37
三重県,A群溶血性レンサ球菌咽頭炎,2021-38,0.15250000000000002,0.09,2021,38
三重県,A群溶血性レンサ球菌咽頭炎,2021-39,0.16,0.23,2021,39
三重県,A群溶血性レンサ球菌咽頭炎,2021-40,0.19,0.14,2021,40
三重県,A群溶血性レンサ球菌咽頭炎,2021-41,0.235,0.48,2021,41
三重県,A群溶血性レンサ球菌咽頭炎,2021-42,0.29750000000000004,0.34,2021,42
三重県,A群溶血性レンサ球菌咽頭炎,2021-43,0.3375,0.39,2021,43
三重県,A群溶血性レンサ球菌咽頭炎,2021-44,0.38,0.31,2021,44
三重県,A群溶血性レンサ球菌咽頭炎,2021-45,0.31,0.2,2021,45
三重県,A群溶血性レンサ球菌咽頭炎,2021-46,0.2975,0.29,2021,46
三重県,A群溶血性レンサ球菌咽頭炎,2021-47,0.255,0.22,2021,47
三重県,A群溶血性レンサ球菌咽頭炎,2021-48,0.25,0.29,2021,48
三重県,A群溶血性レンサ球菌咽頭炎,2021-49,0.2675,0.27,2021,49
三重県,A群溶血性レンサ球菌咽頭炎,2021-50,0.3,0.42,2021,50
三重県,A群溶血性レンサ球菌咽頭炎,2021-51,0.3125,0.27,2021,51
三重県,A群溶血性レンサ球菌咽頭炎,2021-53,0.4,0.18,2021,53
三重県,RSウイルス,2021-09,0.030000000000000002,0.04,2021,9
三重県,RSウイルス,2021-10,0.030000000000000002,0.02,2021,10
三重県,RSウイルス,2021-11,0.035,0.04,2021,11
三重県,RSウイルス,2021-12,0.0425,0.07,2021,12
三重県,RSウイルス,2021-13,0.055,0.09,2021,13
三重県,RSウイルス,2021-14,0.055,0.02,2021,14
三重県,RSウイルス,2021-15,0.07250000000000001,0.11,2021,15
三重県,RSウイルス,2021-16,0.14,0.34,2021,16
三重県,RSウイルス,2021-17,0.2175,0.4,2021,17
三重県,RSウイルス,2021-18,0.29250000000000004,0.32,2021,18
三重県,RSウイルス,2021-19,0.51,0.98,2021,19
三重県,RSウイルス,2021-20,0.965,2.16,2021,20
三重県,RSウイルス,2021-21,1.835,3.88,2021,21
三重県,RSウイルス,2021-22,2.6875,3.73,2021,22
三重県,RSウイルス,2021-23,3.8,5.43,2021,23
三重県,RSウイルス,2021-24,5.045,7.14,2021,24
三重県,RSウイルス,2021-25,7.045,11.88,2021,25
三重県,RSウイルス,2021-26,10.1125,16,2021,26
三重県,RSウイルス,2021-27,13.585,19.32,2021,27
三重県,RSウイルス,2021-28,16.6575,19.43,2021,28
三重県,RSウイルス,2021-29,16.415,10.91,2021,29
三重県,RSウイルス,2021-30,13.8125,5.59,2021,30
三重県,RSウイルス,2021-31,9.76,3.11,2021,31
三重県,RSウイルス,2021-32,5.17,1.07,2021,32
三重県,RSウイルス,2021-33,2.625,0.73,2021,33
三重県,RSウイルス,2021-34,1.4275,0.8,2021,34
三重県,RSウイルス,2021-35,0.78,0.52,2021,35
三重県,RSウイルス,2021-36,0.5575,0.18,2021,36
三重県,RSウイルス,2021-37,0.41500000000000004,0.16,2021,37
三重県,RSウイルス,2021-38,0.25,0.14,2021,38
三重県,RSウイルス,2021-39,0.125,0.02,2021,39
三重県,RSウイルス,2021-43,0.085,0.02,2021,43
三重県,RSウイルス,2021-47,0.05,0.02,2021,47
三重県,RSウイルス,2021-48,0.02,0.02,2021,48
三重県,RSウイルス,2021-49,0.02,0.02,2021,49
三重県,インフルエンザ,2021-01,0.0725,0.11,2021,1
三重県,インフルエンザ,2021-02,0.105,0.17,2021,2
三重県,インフルエンザ,2021-03,0.12,0.1,2021,3
三重県,インフルエンザ,2021-04,0.12,0.1,2021,4
三重県,インフルエンザ,2021-05,0.125,0.13,2021,5
三重県,インフルエンザ,2021-06,0.11499999999999999,0.13,2021,6
三重県,インフルエンザ,2021-07,0.125,0.14,2021,7
三重県,インフルエンザ,2021-08,0.1,0,2021,8
三重県,インフルエンザ,2021-09,0.0675,0,2021,9
三重県,インフルエンザ,2021-10,0.035,0,2021,10
三重県,インフルエンザ,2021-11,0.0075,0.03,2021,11
三重県,インフルエンザ,2021-12,0.0075,0,2021,12
三重県,インフルエンザ,2021-13,0.015,0.03,2021,13
三重県,インフルエンザ,2021-14,0.015,0,2021,14
三重県,インフルエンザ,2021-15,0.0075,0,2021,15
三重県,インフルエンザ,2021-16,0.0075,0,2021,16
三重県,インフルエンザ,2021-17,0.01,0.04,2021,17
