pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2023-01,0.2425,0.2,2023,1
三重県,A群溶血性レンサ球菌咽頭炎,2023-02,0.21749999999999997,0.24,2023,2
三重県,A群溶血性レンサ球菌咽頭炎,2023-03,0.21250000000000002,0.16,2023,3
三重県,A群溶血性レンサ球菌咽頭炎,2023-04,0.22499999999999998,0.3,2023,4
三重県,A群溶血性レンサ球菌咽頭炎,2023-05,0.225,0.2,2023,5
三重県,A群溶血性レンサ球菌咽頭炎,2023-06,0.215,0.2,2023,6
三重県,A群溶血性レンサ球菌咽頭炎,2023-07,0.1925,0.07,2023,7
三重県,A群溶血性レンサ球菌咽頭炎,2023-08,0.14,0.09,2023,8
三重県,A群溶血性レンサ球菌咽頭炎,2023-09,0.13,0.16,2023,9
三重県,A群溶血性レンサ球菌咽頭炎,2023-10,0.0975,0.07,2023,10
三重県,A群溶血性レンサ球菌咽頭炎,2023-11,0.10749999999999998,0.11,2023,11
三重県,A群溶血性レンサ球菌咽頭炎,2023-12,0.17500000000000002,0.36,2023,12
三重県,A群溶血性レンサ球菌咽頭炎,2023-13,0.245,0.44,2023,13
三重県,A群溶血性レンサ球菌咽頭炎,2023-14,0.31,0.33,2023,14
三重県,A群溶血性レンサ球菌咽頭炎,2023-15,0.31,0.11,2023,15
三重県,A群溶血性レンサ球菌咽頭炎,2023-16,0.325,0.42,2023,16
三重県,A群溶血性レンサ球菌咽頭炎,2023-17,0.2975,0.33,2023,17
三重県,A群溶血性レンサ球菌咽頭炎,2023-18,0.315,0.4,2023,18
三重県,A群溶血性レンサ球菌咽頭炎,2023-19,0.40499999999999997,0.47,2023,19
三重県,A群溶血性レンサ球菌咽頭炎,2023-20,0.4325,0.53,2023,20
三重県,A群溶血性レンサ球菌咽頭炎,2023-21,0.56,0.84,2023,21
三重県,A群溶血性レンサ球菌咽頭炎,2023-22,0.6875,0.91,2023,22
三重県,A群溶血性レンサ球菌咽頭炎,2023-23,0.7649999999999999,0.78,2023,23
三重県,A群溶血性レンサ球菌咽頭炎,2023-24,0.815,0.73,2023,24
三重県,A群溶血性レンサ球菌咽頭炎,2023-25,0.76,0.62,2023,25
三重県,A群溶血性レンサ球菌咽頭炎,2023-26,0.7224999999999999,0.76,2023,26
三重県,A群溶血性レンサ球菌咽頭炎,2023-27,0.705,0.71,2023,27
三重県,A群溶血性レンサ球菌咽頭炎,2023-28,0.6725000000000001,0.6,2023,28
三重県,A群溶血性レンサ球菌咽頭炎,2023-29,0.595,0.31,2023,29
三重県,A群溶血性レンサ球菌咽頭炎,2023-30,0.5499999999999999,0.58,2023,30
三重県,A群溶血性レンサ球菌咽頭炎,2023-31,0.5125000000000001,0.56,2023,31
三重県,A群溶血性レンサ球菌咽頭炎,2023-32,0.44000000000000006,0.31,2023,32
三重県,A群溶血性レンサ球菌咽頭炎,2023-33,0.46499999999999997,0.41,2023,33
三重県,A群溶血性レンサ球菌咽頭炎,2023-34,0.5025,0.73,2023,34
三重県,A群溶血性レンサ球菌咽頭炎,2023-35,0.44,0.31,2023,35
三重県,A群溶血性レンサ球菌咽頭炎,2023-36,0.6525000000000001,1.16,2023,36
三重県,A群溶血性レンサ球菌咽頭炎,2023-37,0.7324999999999999,0.73,2023,37
三重県,A群溶血性レンサ球菌咽頭炎,2023-38,0.7174999999999999,0.67,2023,38
三重県,A群溶血性レンサ球菌咽頭炎,2023-39,1.04,1.6,2023,39
三重県,A群溶血性レンサ球菌咽頭炎,2023-40,1.0775000000000001,1.31,2023,40
三重県,A群溶血性レンサ球菌咽頭炎,2023-41,1.185,1.16,2023,41
三重県,A群溶血性レンサ球菌咽頭炎,2023-42,1.5225,2.02,2023,42
三重県,A群溶血性レンサ球菌咽頭炎,2023-43,1.8825000000000003,3.04,2023,43
三重県,A群溶血性レンサ球菌咽頭炎,2023-44,2.2875,2.93,2023,44
三重県,A群溶血性レンサ球菌咽頭炎,2023-45,2.9299999999999997,3.73,2023,45
三重県,A群溶血性レンサ球菌咽頭炎,2023-46,3.6925,5.07,2023,46
三重県,A群溶血性レンサ球菌咽頭炎,2023-47,3.8425000000000002,3.64,2023,47
三重県,A群溶血性レンサ球菌咽頭炎,2023-48,4.2375,4.51,2023,48
三重県,A群溶血性レンサ球菌咽頭炎,2023-49,4.4375,4.53,2023,49
三重県,A群溶血性レンサ球菌咽頭炎,2023-50,4.43,5.04,2023,50
三重県,A群溶血性レンサ球菌咽頭炎,2023-51,4.93,5.64,2023,51
三重県,A群溶血性レンサ球菌咽頭炎,2023-52,5.1625000000000005,5.44,2023,52
三重県,RSウイルス,2023-03,0.10750000000000001,0.11,2023,3
三重県,RSウイルス,2023-04,0.08499999999999999,0.07,2023,4
三重県,RSウイルス,2023-05,0.0675,0.02,2023,5
三重県,RSウイルス,2023-06,0.05500000000000001,0.02,2023,6
三重県,RSウイルス,2023-08,0.0325,0.02,2023,8
三重県,RSウイルス,2023-09,0.02,0.02,2023,9
三重県,RSウイルス,2023-10,0.05499999999999999,0.16,2023,10
三重県,RSウイルス,2023-11,0.09000000000000001,0.16,2023,11
三重県,RSウイルス,2023-12,0.095,0.04,2023,12
三重県,RSウイルス,2023-13,0.11250000000000002,0.09,2023,13
三重県,RSウイルス,2023-14,0.0825,0.04,2023,14
