pref,category,year_week,ma4,weekly_value,yr,wk
三重県,A群溶血性レンサ球菌咽頭炎,2024-01,4.4025,1.49,2024,1
三重県,A群溶血性レンサ球菌咽頭炎,2024-02,3.9425,3.2,2024,2
三重県,A群溶血性レンサ球菌咽頭炎,2024-03,3.75,4.87,2024,3
三重県,A群溶血性レンサ球菌咽頭炎,2024-04,3.5900000000000003,4.8,2024,4
三重県,A群溶血性レンサ球菌咽頭炎,2024-05,4.435,4.87,2024,5
三重県,A群溶血性レンサ球菌咽頭炎,2024-06,4.952500000000001,5.27,2024,6
三重県,A群溶血性レンサ球菌咽頭炎,2024-07,4.7575,4.09,2024,7
三重県,A群溶血性レンサ球菌咽頭炎,2024-08,4.5575,4,2024,8
三重県,A群溶血性レンサ球菌咽頭炎,2024-09,4.545,4.82,2024,9
三重県,A群溶血性レンサ球菌咽頭炎,2024-10,4.3375,4.44,2024,10
三重県,A群溶血性レンサ球菌咽頭炎,2024-11,4.625,5.24,2024,11
三重県,A群溶血性レンサ球菌咽頭炎,2024-12,4.73,4.42,2024,12
三重県,A群溶血性レンサ球菌咽頭炎,2024-13,4.665,4.56,2024,13
三重県,A群溶血性レンサ球菌咽頭炎,2024-14,4.4875,3.73,2024,14
三重県,A群溶血性レンサ球菌咽頭炎,2024-15,4.109999999999999,3.73,2024,15
三重県,A群溶血性レンサ球菌咽頭炎,2024-16,4.2275,4.89,2024,16
三重県,A群溶血性レンサ球菌咽頭炎,2024-17,4.4475,5.44,2024,17
三重県,A群溶血性レンサ球菌咽頭炎,2024-18,4.1825,2.67,2024,18
三重県,A群溶血性レンサ球菌咽頭炎,2024-19,4.2175,3.87,2024,19
三重県,A群溶血性レンサ球菌咽頭炎,2024-20,4.2,4.82,2024,20
三重県,A群溶血性レンサ球菌咽頭炎,2024-21,4.130000000000001,5.16,2024,21
三重県,A群溶血性レンサ球菌咽頭炎,2024-22,4.79,5.31,2024,22
三重県,A群溶血性レンサ球菌咽頭炎,2024-23,5.0625,4.96,2024,23
三重県,A群溶血性レンサ球菌咽頭炎,2024-24,4.975,4.47,2024,24
三重県,A群溶血性レンサ球菌咽頭炎,2024-25,4.675,3.96,2024,25
三重県,A群溶血性レンサ球菌咽頭炎,2024-26,4.2575,3.64,2024,26
三重県,A群溶血性レンサ球菌咽頭炎,2024-27,3.875,3.43,2024,27
三重県,A群溶血性レンサ球菌咽頭炎,2024-28,3.5975,3.36,2024,28
三重県,A群溶血性レンサ球菌咽頭炎,2024-29,3.4075,3.2,2024,29
三重県,A群溶血性レンサ球菌咽頭炎,2024-30,3.1149999999999998,2.47,2024,30
三重県,A群溶血性レンサ球菌咽頭炎,2024-31,2.9574999999999996,2.8,2024,31
三重県,A群溶血性レンサ球菌咽頭炎,2024-32,2.6450000000000005,2.11,2024,32
三重県,A群溶血性レンサ球菌咽頭炎,2024-33,2.075,0.92,2024,33
三重県,A群溶血性レンサ球菌咽頭炎,2024-34,1.945,1.95,2024,34
三重県,A群溶血性レンサ球菌咽頭炎,2024-35,1.8624999999999998,2.47,2024,35
三重県,A群溶血性レンサ球菌咽頭炎,2024-36,1.925,2.36,2024,36
三重県,A群溶血性レンサ球菌咽頭炎,2024-37,2.2224999999999997,2.11,2024,37
三重県,A群溶血性レンサ球菌咽頭炎,2024-38,2.2075,1.89,2024,38
三重県,A群溶血性レンサ球菌咽頭炎,2024-39,2.0774999999999997,1.95,2024,39
三重県,A群溶血性レンサ球菌咽頭炎,2024-40,2.1475,2.64,2024,40
三重県,A群溶血性レンサ球菌咽頭炎,2024-41,2.275,2.62,2024,41
三重県,A群溶血性レンサ球菌咽頭炎,2024-42,2.435,2.53,2024,42
三重県,A群溶血性レンサ球菌咽頭炎,2024-43,2.665,2.87,2024,43
