"date","pref","category","value","year","week_label_clean"
"2023-05-14","香川県","新型コロナウイルス",3.06,2023,"5月8日～5月14日（2023年）"
"2023-05-21","香川県","新型コロナウイルス",3.17,2023,"5月15日～5月21日（2023年）"
"2023-05-28","香川県","新型コロナウイルス",1.6,2023,"5月22日～5月28日（2023年）"
"2023-06-04","香川県","新型コロナウイルス",2.81,2023,"5月29日～6月4日（2023年）"
"2023-06-11","香川県","新型コロナウイルス",3.7,2023,"6月5日～6月11日（2023年）"
"2023-06-18","香川県","新型コロナウイルス",3.47,2023,"6月12日～6月18日（2023年）"
"2023-06-25","香川県","新型コロナウイルス",4.47,2023,"6月19日～6月25日（2023年）"
"2023-07-02","香川県","新型コロナウイルス",6.81,2023,"6月26日～7月2日（2023年）"
"2023-07-09","香川県","新型コロナウイルス",9.87,2023,"7月3日～7月9日（2023年）"
"2023-07-16","香川県","新型コロナウイルス",14.66,2023,"7月10日～7月16日（2023年）"
"2023-07-23","香川県","新型コロナウイルス",14.4,2023,"7月17日～7月23日（2023年）"
"2023-07-30","香川県","新型コロナウイルス",17.6,2023,"7月24日～7月30日（2023年）"
"2023-08-06","香川県","新型コロナウイルス",16.7,2023,"7月31日～8月6日（2023年）"
"2023-08-13","香川県","新型コロナウイルス",17.85,2023,"8月7日～8月13日（2023年）"
"2023-08-20","香川県","新型コロナウイルス",19.83,2023,"8月14日～8月20日（2023年）"
"2023-08-27","香川県","新型コロナウイルス",16.13,2023,"8月21日～8月27日（2023年）"
"2023-09-03","香川県","新型コロナウイルス",15.09,2023,"8月28日～9月3日（2023年）"
"2023-09-10","香川県","新型コロナウイルス",13.09,2023,"9月4日～9月10日（2023年）"
"2023-09-17","香川県","新型コロナウイルス",13.09,2023,"9月11日～9月17日（2023年）"
"2023-09-24","香川県","新型コロナウイルス",7.83,2023,"9月18日～9月24日（2023年）"
"2023-10-01","香川県","新型コロナウイルス",7.19,2023,"9月25日～10月1日（2023年）"
"2023-10-08","香川県","新型コロナウイルス",4.79,2023,"10月2日～10月8日（2023年）"
"2023-10-15","香川県","新型コロナウイルス",4.85,2023,"10月9日～10月15日（2023年）"
"2023-10-22","香川県","新型コロナウイルス",3.85,2023,"10月16日～10月22日（2023年）"
"2023-10-29","香川県","新型コロナウイルス",2.81,2023,"10月23日～10月29日（2023年）"
"2023-11-05","香川県","新型コロナウイルス",2.62,2023,"10月30日～11月5日（2023年）"
"2023-11-12","香川県","新型コロナウイルス",2.06,2023,"11月6日～11月12日（2023年）"
"2023-11-19","香川県","新型コロナウイルス",2.34,2023,"11月13日～11月19日（2023年）"
"2023-11-26","香川県","新型コロナウイルス",2.36,2023,"11月20日～11月26日（2023年）"
"2023-12-03","香川県","新型コロナウイルス",2.74,2023,"11月27日～12月3日（2023年）"
"2023-12-10","香川県","新型コロナウイルス",3.77,2023,"12月4日～12月10日（2023年）"
"2023-12-17","香川県","新型コロナウイルス",5.51,2023,"12月11日～12月17日（2023年）"
"2023-12-24","香川県","新型コロナウイルス",4.85,2023,"12月18日～12月24日（2023年）"
"2023-12-31","香川県","新型コロナウイルス",6.98,2023,"12月25日～12月31日（2023年）"
"2024-01-07","香川県","新型コロナウイルス",8.11,2024,"1月1日～1月7日（2024年）"
"2024-01-14","香川県","新型コロナウイルス",8.51,2024,"1月8日～1月14日（2024年）"
"2024-01-21","香川県","新型コロナウイルス",13.64,2024,"1月15日～1月21日（2024年）"
"2024-01-28","香川県","新型コロナウイルス",16.62,2024,"1月22日～1月28日（2024年）"
"2024-02-04","香川県","新型コロナウイルス",17.64,2024,"1月29日～2月4日（2024年）"
"2024-02-11","香川県","新型コロナウイルス",13.47,2024,"2月5日～2月11日（2024年）"
"2024-02-18","香川県","新型コロナウイルス",10.81,2024,"2月12日～2月18日（2024年）"
"2024-02-25","香川県","新型コロナウイルス",7.15,2024,"2月19日～2月25日（2024年）"
"2024-03-03","香川県","新型コロナウイルス",6.85,2024,"2月26日～3月3日（2024年）"
"2024-03-10","香川県","新型コロナウイルス",6.06,2024,"3月4日～3月10日（2024年）"
"2024-03-17","香川県","新型コロナウイルス",5.21,2024,"3月11日～3月17日（2024年）"
"2024-03-24","香川県","新型コロナウイルス",4.23,2024,"3月18日～3月24日（2024年）"
"2024-03-31","香川県","新型コロナウイルス",4.3,2024,"3月25日～3月31日（2024年）"
"2024-04-07","香川県","新型コロナウイルス",3.66,2024,"4月1日～4月7日（2024年）"
"2024-04-14","香川県","新型コロナウイルス",2.51,2024,"4月8日～4月14日（2024年）"
"2024-04-21","香川県","新型コロナウイルス",2.85,2024,"4月15日～4月21日（2024年）"
"2024-04-28","香川県","新型コロナウイルス",2.45,2024,"4月22日～4月28日（2024年）"
"2024-05-05","香川県","新型コロナウイルス",1.21,2024,"4月29日～5月5日（2024年）"
"2024-05-12","香川県","新型コロナウイルス",1.62,2024,"5月6日～5月12日（2024年）"
"2024-05-19","香川県","新型コロナウイルス",1.32,2024,"5月13日～5月19日（2024年）"
"2024-05-26","香川県","新型コロナウイルス",1.77,2024,"5月20日～5月26日（2024年）"
"2024-06-02","香川県","新型コロナウイルス",1.87,2024,"5月27日～6月2日（2024年）"
"2024-06-09","香川県","新型コロナウイルス",1.85,2024,"6月3日～6月9日（2024年）"
"2024-06-16","香川県","新型コロナウイルス",2.38,2024,"6月10日～6月16日（2024年）"
"2024-06-23","香川県","新型コロナウイルス",2.74,2024,"6月17日～6月23日（2024年）"
