"報告数・定点当り報告数、疾病・都道府県別","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2026年24週(06月08日～06月14日)","2026年06月17日作成","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","インフルエンザ","","ＲＳウイルス感染症","","咽頭結膜熱","","Ａ群溶血性レンサ球菌咽頭炎","","感染性胃腸炎","","水痘","","手足口病","","伝染性紅斑","","突発性発しん","","ヘルパンギーナ","","流行性耳下腺炎","","急性出血性結膜炎","","流行性角結膜炎","","細菌性髄膜炎","","無菌性髄膜炎","","マイコプラズマ肺炎","","クラミジア肺炎","","感染性胃腸炎（ロタウイルス）","","COVID-19",""
"","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当","報告","定当"
"総数","272","0.07","788","0.35","1365","0.60","5834","2.58","11140","4.94","987","0.44","6202","2.75","143","0.06","780","0.35","1496","0.66","100","0.04","5","0.01","328","0.47","7","0.01","20","0.04","102","0.21","3","0.01","15","0.03","2147","0.58"
"北海道","7","0.04","14","0.14","77","0.78","428","4.32","400","4.04","55","0.56","12","0.12","3","0.03","23","0.23","7","0.07","6","0.06","-","-","5","0.17","-","-","3","0.13","6","0.26","-","-","2","0.09","14","0.08"
"青森県","5","0.10","2","0.06","8","0.24","58","1.71","83","2.44","10","0.29","14","0.41","1","0.03","10","0.29","1","0.03","-","-","-","-","-","-","-","-","-","-","7","1.17","-","-","-","-","5","0.10"
"岩手県","2","0.05","12","0.44","16","0.59","101","3.74","131","4.85","16","0.59","6","0.22","5","0.19","12","0.44","3","0.11","-","-","-","-","5","0.36","-","-","-","-","2","0.11","-","-","-","-","23","0.55"
"宮城県","3","0.05","4","0.13","25","0.81","54","1.74","125","4.03","21","0.68","11","0.35","-","-","11","0.35","4","0.13","1","0.03","-","-","9","0.75","-","-","1","0.10","2","0.20","-","-","-","-","19","0.35"
"秋田県","1","0.04","2","0.15","3","0.23","13","1.00","35","2.69","2","0.15","2","0.15","6","0.46","2","0.15","1","0.08","-","-","-","-","1","0.14","-","-","-","-","1","0.13","-","-","-","-","6","0.24"
"山形県","1","0.03","10","0.38","22","0.85","130","5.00","97","3.73","25","0.96","10","0.38","2","0.08","5","0.19","-","-","-","-","-","-","3","0.38","-","-","-","-","-","-","-","-","-","-","24","0.62"
"福島県","2","0.04","4","0.14","10","0.36","73","2.61","88","3.14","16","0.57","18","0.64","-","-","6","0.21","4","0.14","1","0.04","-","-","-","-","-","-","-","-","1","0.14","-","-","-","-","30","0.63"
"茨城県","16","0.24","5","0.13","22","0.58","172","4.53","163","4.29","14","0.37","20","0.53","-","-","9","0.24","7","0.18","1","0.03","-","-","17","1.00","-","-","-","-","2","0.15","-","-","-","-","37","0.54"
"栃木県","1","0.02","8","0.30","6","0.22","85","3.15","110","4.07","7","0.26","11","0.41","-","-","10","0.37","4","0.15","-","-","-","-","9","0.75","1","0.14","-","-","2","0.29","-","-","-","-","6","0.13"
"群馬県","1","0.02","5","0.20","14","0.56","100","4.00","188","7.52","10","0.40","22","0.88","4","0.16","13","0.52","6","0.24","4","0.16","-","-","2","0.20","-","-","-","-","2","0.22","-","-","-","-","18","0.40"
"埼玉県","12","0.07","13","0.12","90","0.83","329","3.05","622","5.76","88","0.81","178","1.65","4","0.04","51","0.47","50","0.46","10","0.09","2","0.05","15","0.35","-","-","-","-","6","0.50","-","-","-","-","67","0.39"
"千葉県","17","0.10","12","0.11","30","0.28","269","2.49","372","3.44","53","0.49","259","2.40","2","0.02","32","0.30","35","0.32","5","0.05","-","-","12","0.35","-","-","2","0.22","2","0.22","-","-","-","-","113","0.63"
"東京都","25","0.06","31","0.12","136","0.52","430","1.63","1481","5.63","86","0.33","504","1.92","-","-","94","0.36","144","0.55","19","0.07","-","-","21","0.54","1","0.04","-","-","4","0.16","-","-","3","0.12","54","0.13"
"神奈川県","10","0.04","30","0.21","41","0.28","291","2.02","653","4.53","54","0.38","232","1.61","7","0.05","60","0.42","58","0.40","9","0.06","-","-","35","0.71","1","0.09","2","0.18","4","0.36","-","-","-","-","32","0.13"
"新潟県","2","0.04","15","0.50","18","0.60","103","3.43","91","3.03","23","0.77","3","0.10","6","0.20","3","0.10","3","0.10","3","0.10","-","-","-","-","-","-","1","0.08","3","0.23","-","-","-","-","12","0.22"
"富山県","1","0.02","12","0.41","10","0.34","71","2.45","205","7.07","6","0.21","178","6.14","5","0.17","16","0.55","28","0.97","-","-","-","-","1","0.14","-","-","-","-","-","-","-","-","-","-","9","0.19"
"石川県","-","-","-","-","16","0.57","93","3.32","252","9.00","16","0.57","239","8.54","2","0.07","6","0.21","36","1.29","-","-","-","-","19","2.71","-","-","-","-","-","-","-","-","-","-","8","0.17"
"福井県","-","-","10","0.40","25","1.00","77","3.08","134","5.36","5","0.20","48","1.92","1","0.04","5","0.20","7","0.28","-","-","-","-","-","-","1","0.17","1","0.17","5","0.83","-","-","-","-","53","1.36"
"山梨県","3","0.09","2","0.10","3","0.14","21","1.00","81","3.86","8","0.38","2","0.10","3","0.14","2","0.10","3","0.14","-","-","-","-","3","0.33","-","-","-","-","2","0.20","-","-","-","-","8","0.23"
